Artist,Country,Type,Gender,Rating,Tags
ROSÉ,KR,Person,Female,"{'value': 5, 'votes-count': 1}","[{'count': 2, 'name': 'k-pop'}, {'count': 1, 'name': 'korean ballad'}]"
Bruno Mars,US,Person,Male,"{'value': 3.75, 'votes-count': 4}","[{'name': '2010s', 'count': 1}, {'count': 4, 'name': 'funk'}, {'count': 1, 'name': 'music for soccer moms'}, {'name': 'pop', 'count': 10}, {'count': 2, 'name': 'r&b'}, {'count': 1, 'name': 'relic inn'}, {'count': 1, 'name': 'rock'}, {'count': 1, 'name': 'soul'}]"
Mariah Carey,US,Person,Female,"{'votes-count': 13, 'value': 4.4}","[{'count': 1, 'name': '1990s'}, {'count': 1, 'name': '2000s'}, {'count': 1, 'name': '90s'}, {'name': 'adult contemporary', 'count': 1}, {'count': 3, 'name': 'christmas music'}, {'name': 'contemporary r&b', 'count': 8}, {'name': 'dance-pop', 'count': 6}, {'count': 1, 'name': 'easy listening'}, {'name': 'english', 'count': 1}, {'count': 1, 'name': 'hip hop'}, {'count': 11, 'name': 'pop'}, {'count': 1, 'name': 'pop soul'}, {'name': 'quiet storm', 'count': 1}, {'name': 'r&b', 'count': 1}, {'count': 5, 'name': 'soul'}]"
Wham!,GB,Group,,"{'value': 4.65, 'votes-count': 3}","[{'name': 'christmas music', 'count': 1}, {'name': 'dance-pop', 'count': 2}, {'count': 4, 'name': 'pop'}, {'name': 'queer', 'count': 1}]"
Lady Gaga,US,Person,Female,"{'value': 4.25, 'votes-count': 21}","[{'count': 1, 'name': '2000s'}, {'count': 2, 'name': '2010s'}, {'count': 1, 'name': '2020s'}, {'name': 'adult contemporary', 'count': 1}, {'count': 1, 'name': 'americana'}, {'count': 2, 'name': 'dance'}, {'name': 'dance-pop', 'count': 15}, {'name': 'electro house', 'count': 1}, {'count': 6, 'name': 'electronic'}, {'count': 12, 'name': 'electropop'}, {'name': 'film soundtrack', 'count': 1}, {'name': 'jazz', 'count': 1}, {'count': 1, 'name': 'late 2000s'}, {'count': 18, 'name': 'pop'}, {'count': 9, 'name': 'pop rock'}, {'name': 'synth-pop', 'count': 4}, {'name': 'synthpop', 'count': 3}]"
Bruno Mars,US,Person,Male,"{'votes-count': 4, 'value': 3.75}","[{'count': 1, 'name': '2010s'}, {'count': 4, 'name': 'funk'}, {'count': 1, 'name': 'music for soccer moms'}, {'name': 'pop', 'count': 10}, {'name': 'r&b', 'count': 2}, {'count': 1, 'name': 'relic inn'}, {'name': 'rock', 'count': 1}, {'name': 'soul', 'count': 1}]"
Brenda Lee,,Person,Female,"{'votes-count': 2, 'value': 4.5}","[{'name': '2008 universal fire victim', 'count': 1}, {'name': 'american', 'count': 1}, {'count': 1, 'name': 'classic pop and rock'}, {'count': 2, 'name': 'country'}, {'name': 'pop', 'count': 4}, {'count': 1, 'name': 'rock'}, {'name': 'rock and roll', 'count': 1}, {'name': 'rockabilly', 'count': 1}]"
Bobby Helms,US,Person,Male,"{'value': 3, 'votes-count': 1}","[{'name': '2008 universal fire victim', 'count': 1}, {'count': 1, 'name': 'christmas music'}, {'name': 'country', 'count': 1}, {'count': 1, 'name': 'rockabilly'}]"
Billie Eilish,US,Person,Female,"{'votes-count': 9, 'value': 3.65}","[{'count': 1, 'name': '2010s'}, {'name': '2020s', 'count': 1}, {'name': 'alt-pop', 'count': 2}, {'count': 12, 'name': 'alternative pop'}, {'count': 4, 'name': 'alternative r&b'}, {'name': 'art pop', 'count': 3}, {'name': 'bedroom pop', 'count': 2}, {'name': 'contemporary r&b', 'count': 2}, {'name': 'dark pop', 'count': 7}, {'count': 1, 'name': 'electronic'}, {'name': 'electropop', 'count': 11}, {'name': 'indie pop', 'count': 2}, {'count': 3, 'name': 'pity pop'}, {'name': 'pop', 'count': 6}, {'name': 'pop rock', 'count': 1}, {'name': 'queer', 'count': 1}, {'name': 'singer-songwriter', 'count': 3}]"
Ariana Grande,US,Person,Female,"{'votes-count': 11, 'value': 4.25}","[{'count': 2, 'name': 'contemporary r&b'}, {'name': 'dance-pop', 'count': 3}, {'name': 'pop', 'count': 18}, {'count': 5, 'name': 'r&b'}, {'count': 1, 'name': 'trap soul'}]"
Gracie Abrams,US,Person,Female,"{'votes-count': 0, 'value': None}","[{'count': 1, 'name': 'bedroom pop'}, {'count': 2, 'name': 'folk pop'}, {'count': 1, 'name': 'pop'}, {'count': 1, 'name': 'singer-songwriter'}]"
Kelly Clarkson,US,Person,Female,"{'votes-count': 2, 'value': 4.5}","[{'count': 1, 'name': 'music for soccer moms'}, {'count': 4, 'name': 'pop'}, {'name': 'pop rock', 'count': 1}]"
Michael Bublé,CA,Person,Male,"{'value': 4, 'votes-count': 3}","[{'name': 'big band', 'count': 1}, {'count': 2, 'name': 'canadian'}, {'count': 1, 'name': 'crazy love'}, {'count': 1, 'name': 'easy listening'}, {'name': 'easy listening soundtracks and musicals', 'count': 1}, {'name': 'jazz', 'count': 5}, {'count': 1, 'name': 'music for soccer moms'}, {'name': 'pop', 'count': 1}, {'name': 'swing', 'count': 1}]"
