Song,Artist,Lyrics
APT.,"['Rosé', 'Bruno Mars']","
Chaeyoung-iga
 joahaneun
Random game
Random game
Game start

Apateu, apateu
Apateu, apateu
Apateu, apateu
Uh, uh-huh, uh-huh
Apateu, apateu
Apateu, apateu
Apateu, apateu
Uh, uh-huh, uh-huh

Kissy face, kissy face
Sent to your phone, but
I'm tryna kiss your lips for real 
Red hearts, red hearts
That's what I'm on, yeah
Come give me somethin' I can feel, oh-oh, oh

Don't you want me like I want you, baby?
Don't you need me like I need you now?
Sleep tomorrow, but tonight, go crazy
All you gotta do is just meet me at the

Apateu, apateu
Apateu, apateu
Apateu, apatеu
Uh, uh-huh, uh-huh
Apateu, apateu
Apateu, apatеu
Apateu, apateu
Uh, uh-huh, uh-huh

It's whatever , it's whatever 
It's whatever  you like 
Turn this apateu into a club 
I'm talkin' drink, dance, smoke, freak, party all night 
Geonbae, geonbae, girl, what's up? 
Oh-oh, oh

Don't you want me like I want you, baby?
Don't you need me like I need you now?
Sleep tomorrow, but tonight, go crazy
All you gotta do is just meet me at the

Apateu, apateu
Apateu, apateu
Apateu, apateu
Uh, uh-huh, uh-huh
Apateu, apateu
Apateu, apateu
Apateu, apateu
Uh, uh-huh, uh-huh

Hey, so now you know the game
Are you ready?
'Cause I'm comin' to get ya, get ya, get ya
Hold on, hold on
I'm on my way
Yeah, yeah, yeah-yeah, yeah
I'm on my way
Hold on, hold on
I'm on my way
Yeah, yeah, yeah-yeah, yeah
I'm on my way

Don't you want me like I want you, baby?
Don't you need me like I need you now?
Sleep tomorrow, but tonight, go crazy
All you gotta do is just meet me at the

Apateu, apateu
Apateu, apateu
Apateu, apateu
Just meet me at the 
Apateu, apateu
Apateu, apateu
Apateu, apateu
Just meet me at the
 
Apateu, apateu
Apateu, apateu
Apateu, apateu
Just meet me at the
 
Apateu, apateu
Apateu, apateu
Apateu, apateu
Uh, uh-huh, uh-huh"
All I Want For Christmas Is You,['Mariah Carey'],"
I don't want a lot for Christmas
There is just one thing I need
I don't care about the presents
Underneath the Christmas tree
I just want you for my own
More than you could ever know
Make my wish come true
All I want for Christmas is you, yeah

I don't want a lot for Christmas
There is just one thing I need 
Don't care about the presents
Underneath the Christmas tree
I don't need to hang my stocking
There upon the fireplace 
Santa Claus won't make me happy
With a toy on Christmas Day

I just want you for my own 
More than you could ever know 
Make my wish come true
All I want for Christmas is you
You, baby

Oh, I won't ask for much this Christmas
I won't even wish for snow 
I'm just gonna keep on waiting
Underneath the mistletoe
I won't make a list and send it
To the North Pole for Saint Nick 
I won't even stay awake to
Hear those magic reindeer click

'Cause I just want you here tonight 
Holding on to me so tight 
What more can I do?
Oh baby, all I want for Christmas is you
You, baby

Oh, all the lights are shining
So brightly everywhere 
And the sound of children's
Laughter fills the air 
And everyone is singing 
I hear those sleigh bells ringing 
Santa, won't you bring me the one I really need? 
Won't you please bring my baby to me?

Oh, I don't want a lot for Christmas
This is all I'm asking for 
I just wanna see my baby
Standing right outside my door

Oh, I just want you for my own 
More than you could ever know 
Make my wish come true
Oh baby, all I want for Christmas is you

You, baby
All I want for Christmas is you, baby 
All I want for Christmas is you, baby 
All I want for Christmas is you, baby 
All I want for Christmas is you, baby 
All I want for Christmas is you, baby "
Last Christmas,['Wham!'],"

Ah, ah-ah
Ooh-woah
Oh-oh

Last Christmas, I gave you my heart
But the very next day, you gave it away
This year, to save me from tears
I'll give it to someone special
Last Christmas, I gave you my heart
But the very next day, you gave it away 
This year, to save me from tears
I'll give it to someone special 

Once bitten and twice shy
I keep my distance, but you still catch my eye
Tell me, baby, do you recognise me?
Well, it's been a year, it doesn't surprise me
""Happy Christmas,"" I wrapped it up and sent it
With a note saying, ""I love you,"" I meant it
Now I know what a fool I've been
But if you kissed me now, I know you'd fool me again

Last Christmas, I gave you my heart
But the very next day, you gave it away 
This year, to save me from tears
I'll give it to someone special 
Last Christmas, I gave you my heart
But the very next day, you gave it away
This year, to save me from tears
I'll give it to someone special 
Oh, oh, baby

A crowded room, friends with tired eyes
I'm hiding from you and your soul of ice
My God, I thought you were someone to rely on
Me? I guess I was a shoulder to cry on
A face-on lover with a fire in his heart
A man undercover, but you tore me apart
Ooh-ooh
Now I've found a real love, you'll never fool me again

Last Christmas, I gave you my heart
But the very next day, you gave it away 
This year, to save me from tears
I'll give it to someone special 
Last Christmas, I gave you my heart
But the very next day, you gave it away 
This year, to save me from tears
I'll give it to someone special 

A face-on lover with a fire in his heart 
A man undercover, but you tore him apart
Maybe next year
I'll give it to someone, I'll give it to someone special

Special
Someone
Someone
I'll give it to someone, I'll give it to someone special
Who give me something in return

Hold my heart and watch it burn
I'll give it to someone, I'll give it to someone special
I thought you were here to stay
How could you love me for a day?
I thought you were someone special
I gave you my heart
I'll give it to someone, I'll give it to someone

Last Christmas, I gave you my heart
You gave it away
I'll give it to someone, I'll give it to someone

La-la
La-la-la-la-la
La-la
La-la-la-la-la
La-la-la-la-la-la-la
La-la-la-la-la-la-la-la
La-la-la
La-la-la-la-la
La-la-la-la-la
La-la-la-la-la-la-la
La-la-la-la-la-la-la-la"
Die With A Smile,"['Lady Gaga', 'Bruno Mars']","


I, I just woke up from a dream
Where you and I had to say goodbye
And I don't know what it all means
But since I survived, I realized

Wherever you go, that's where I'll follow
Nobody's promised tomorrow
So I'ma love you every night like it's the last night
Like it's the last night

If the world was ending
I'd wanna be next to you
If the party was over
And our time on Earth was through
I'd wanna hold you just for a while
And die with a smile
If the world was ending
I'd wanna be next to you



Ooh, lost, lost in the words that we scream
I don't even wanna do this anymore
'Cause you already know what you mean to me
And our love's the only war 
worth fighting for

Wherever you go, that's where I'll follow
Nobody's promised tomorrow
So I'ma love you every night like it's the last night
Like it's the last night

If the world was ending
I'd wanna be next to you
If the party was over
And our time on Earth was through
I'd wanna hold you just for a while
And die with a smile
If the world was ending
I'd wanna be next to you

Right next to you
Next to you
Right next to you
Oh-oh

If the world was ending
I'd wanna be next to 
you
If the party was over
And our time on Earth was 
through
I'd wanna hold you
 
just for a while
And die with a smile
If the world was ending
I'd wanna be next to you
If the world was ending
I'd wanna be next to you


I'd wanna be next to you"
Rockin' Around The Christmas Tree,['Brenda Lee'],"
Rockin' around the Christmas tree
At the Christmas party hop
Mistletoe hung where you can see
Every couple tries to stop
Rockin' around the Christmas tree
Let the Christmas spirit ring
Later, we'll have some pumpkin pie
And we'll do some caroling

You will get a sentimental feeling
When you hear
Voices singing, ""Let's be jolly
Deck the halls with boughs of holly""

Rockin' around the Christmas tree
Have a happy holiday
Everyone's dancin' merrily
In the new old-fashioned way


You will get a sentimental feeling
When you hear
Voices singing, ""Let's be jolly
Deck the halls with boughs of holly""

Rockin' around the Christmas tree
Have a happy holiday
Everyone's dancin' merrily
In the new old-fashioned way"
Jingle Bell Rock,['Bobby Helms'],"
Jingle bell, jingle bell, jingle bell rock
Jingle bells swing and jingle bells ring
Snowin' and blowin' up 
bushels
 of fun
Now the jingle hop has begun
Jingle bell, jingle bell, jingle bell rock
Jingle bells chime in jingle bell time
Dancin' and prancin' in Jingle Bell Square
In the frosty air

What a bright time, it's the right time
To rock the night away
Jingle bell time is a swell time
To go glidin' in a one-horse sleigh

Giddy up, jingle horse, pick up your feet
Jingle around the clock
Mix and a-mingle in the jinglin' feet
That's the jingle bell rock

Jingle bell, jingle bell, jingle bell rock
Jingle bells chime in jingle bell time
Dancin' and prancin' in Jingle Bell Square
In the frosty air

What a bright time, it's the right time
To rock the night away
Jingle bell time is a swell time
To go glidin' in a one-horse sleigh

Giddy up, jingle horse, pick up your feet
Jingle around the clock
Mix and a-mingle in the jinglin' feet
That's the jingle bell
That's the jingle bell
That's the jingle bell rock"
Birds Of A Feather,['Billie Eilish'],"

I want you to stay
'Til I'm in the grave
'Til I rot away, dead and buried
'Til I'm in the casket you carry
If you go, I'm goin' too, uh
'Cause it was always you 
And if I'm turnin' blue, please don't save me
Nothin' left to lose without my baby

Birds of a feather, we should stick together
, I know
I said I'd never think I wasn't better alone
Can't change the weather, might not be forever
But if it's forever, it's even better

And I don't know what I'm cryin' for
I don't think I could love you more
It might not be long, but baby, I

I'll love you 'til the day that I die
'Til the day that I die
'Til the light leaves my eyes
'Til the day that I die

I want you to see, hm
How you look to me, hm
You wouldn't believe if I told ya
You would keep the compliments I throw ya
But you're so full of shit, uh
Tell me it's a bit, oh
Say you don't see it, your mind's polluted
Say you wanna quit, don't be stupid

And I don't know what I'm cryin' for
I don't think I could love you more
Might not be long, but baby, I
Don't wanna say goodbye

Birds of a feather, we should stick together,
 I know 

I said I'd never think I wasn't better alone
 

Can't change the weather, might not be forever
 

But if it's forever, it's even better

I knew you in another life
You had that same look in your eyes
I love you, don't act so surprised"
Santa Tell Me,['Ariana Grande'],"
Santa, tell me if you're really there
Don't make me fall in love again if he won't be here next year
Santa, tell me if he really cares
'Cause I can't give it all away if he won't be here next year

Feeling Christmas all around
And I'm trying to play it cool
But it's hard to focus when I see him walking 'cross the room
""Let It Snow"" is blasting out
But I won't get in the mood
I'm avoiding every mistletoe until I know it's

True love that he thinks of
So next Christmas I'm not all alone, boy

Santa, tell me if you're really there
Don't make me fall in love again if he won't be here next year
Santa, tell me if he really cares
'Cause I can't give it all away if he won't be here next year

I've been down this road before
Fell in love on Christmas night
But on New Year's Day, I woke up and he wasn't by my side
Now I need someone to hold
Be my fire in the cold
But it's hard to tell if this is just a fling or if it's

True love that he thinks of
So next Christmas I'm not all alone, boy

Santa, tell me if you're really there
Don't make me fall in love again if he won't be here next year
Santa, tell me if he really cares
'Cause I can't give it all away if he won't be here next year

Oh, I wanna have him beside me, like oh-woo-oh
On the 25th, by that fireplace, oh-woo-oh
But I don't want a new broken heart
This year I've got to be smart
Oh, baby

If he will be, if he will be here

Oh, woah

Santa, tell me  if you're really there 
Don't make me fall in love again if he won't be here next year
Santa, tell me  if he really cares 
'Cause I can't give it all away if he won't be here next year
Santa, tell me  if you're really there 
Don't make me fall in love again if he won't be here next year 
Santa, tell me  if he really cares 
'Cause I can't give it all away if he won't be here next year"
That’s So True,['Gracie Abrams'],"
I could go and read your mind
Think about your dumb face all the time
Living in your glass house, I'm outside, uh
Looking into big blue eyes
Did it just to hurt me, make me cry
Smiling through it all, yeah, that's my life

You're an idiot, now I'm sure
Now I'm positive, I should go and warn her

Ooh, bet you're thinking, ""She's so cool""
Kicking back on your couch, making eyes from across the room
Wait, I think I've been there too, ooh

What'd she do to get you off? 
Taking down her hair like, oh my God
Taking off your shirt, I did that once
Or twice, uh
No, I know, I know I'll fuck off 
But I think I like her, she's so fun
Wait, I think I hate her, I'm not that evolved

I'm sorry she's missing it, sad, sad boy
Not my business, but I had to warn ya

Ooh, bet you're thinking, ""She's so cool""
Kicking back on your couch, making eyes from across the room
Wait, I think I've been there too, ooh
Ooh, you've got me thinking, ""She's so cool""
But I know what I know and you're just another dude
Ooh, that's so true, ooh

Made it out alive, but I think I lost it
Said that I was fine, said it from my coffin
Remember how I died when you started walking?
That's my life, that's my life
I'll put up a fight, taking out my earrings
Don't you know the vibe? Don't you know the feeling?
You should spend the night, catch me on your ceiling
That's your prize, that's your prize
Well

Mm, bet you're thinking, ""She's so cool""
Kicking back on your couch, making eyes from across the room
Wait, I think I've been there too, ooh
Ooh, you've got me thinking, ""She's so cool""
But I know what I know and you're just another dude
Ooh, that's so true, ooh, ooh, oh"
Underneath The Tree,['Kelly Clarkson'],"
You're here where you should be
Snow is falling as the carolers sing
It just wasn't the same
Alone on Christmas day
Presents, what a beautiful sight
Don't mean a thing if you ain't holding me tight
You're all that I need
Underneath the tree

Tonight , I'm gonna hold you close 
Make sure that you know 
I was lost before you 
Christmas was cold and grey 
Another holiday 
Alone to celebrate

But then , one day 
Everything changed
You're all I need
Underneath the tree

You're here where you should be
Snow is falling as the carolers sing
It just wasn't the same
Alone on Christmas day
Presents, what a beautiful sight
Don't mean a thing if you ain't holding me tight
You're all that I need
Underneath the tree

I found  what I was looking for 
A love that's meant for me 
A heart that's mine completely 
Knocked me right off my feet 
And this year I will fall 
With no worries at all

'Cause you  are near 
And everything's clear
You're all I need
Underneath the tree

You're here where you should be
Snow is falling as the carolers sing
It just wasn't the same
Alone on Christmas day
Presents, what a beautiful sight
Don't mean a thing if you ain't holding me tight
You're all that I need
Underneath the tree


And then, one day, everything changed
You're all I need
Underneath the tree, yeah

You're here where you should be 
Snow is falling as the carolers sing 
It just wasn't the same 
Alone on Christmas day
Presents, what a beautiful sight 
Don't mean a thing if you ain't holding me tight 
You're all that I need 
Underneath the tree, tonight

Oh, you're all I need
Underneath, underneath the tree, oh"
